time,tau1,tau2,tau3,tau4,tau5,tau6
2005,4.67888, 0, 0, 0, 0, 0
2010,4.67887, 0, 0, 0, 0, 0
2015,4.67886, 0, 0, 0, 0, 0
2020,4.67885, 0, 0, 0, 0, 0
2025,4.67883, 0, 0, 0, 0, 0
2030,4.67882, 0, 0, 0, 0, 0
2035,4.67881, 0, 0, 0, 0, 0
2040,4.67879, 0, 0, 0, 0, 0
2045,4.67878, 0, 0, 0, 0, 0
2050,4.67877, 0, 0, 0, 0, 0
2055,4.67876, 0, 0, 0, 0, 0
2060,4.67874, 0, 0, 0, 0, 0
2065,4.67873, 0, 0, 0, 0, 0
2070,4.67872, 0, 0, 0, 0, 0
2075,4.6787, 0, 0, 0, 0, 0
2080,4.67869, 0, 0, 0, 0, 0
2085,4.67868, 0, 0, 0, 0, 0
2090,4.67867, 0, 0, 0, 0, 0
2095,4.67865, 0, 0, 0, 0, 0
2100,4.67864, 0, 0, 0, 0, 0
2105,4.67863, 0, 0, 0, 0, 0
2110,4.67861, 0, 0, 0, 0, 0
2115,4.6786, 0, 0, 0, 0, 0
2120,4.67859, 0, 0, 0, 0, 0
2125,4.67858, 0, 0, 0, 0, 0
2130,4.67856, 0, 0, 0, 0, 0
2135,4.67855, 0, 0, 0, 0, 0
2140,4.67854, 0, 0, 0, 0, 0
2145,4.67853, 0, 0, 0, 0, 0
2150,4.67851, 0, 0, 0, 0, 0
2155,4.6785, 0, 0, 0, 0, 0
2160,4.67849, 0, 0, 0, 0, 0
2165,4.67847, 0, 0, 0, 0, 0
2170,4.67846, 0, 0, 0, 0, 0
2175,4.67845, 0, 0, 0, 0, 0
2180,4.67844, 0, 0, 0, 0, 0
2185,4.67842, 0, 0, 0, 0, 0
2190,4.67841, 0, 0, 0, 0, 0
2195,4.6784, 0, 0, 0, 0, 0
2200,4.67838, 0, 0, 0, 0, 0
2205,4.67837, 0, 0, 0, 0, 0
2210,4.67836, 0, 0, 0, 0, 0
2215,4.67835, 0, 0, 0, 0, 0
2220,4.67833, 0, 0, 0, 0, 0
2225,4.67832, 0, 0, 0, 0, 0
2230,4.67831, 0, 0, 0, 0, 0
2235,4.67829, 0, 0, 0, 0, 0
2240,4.67828, 0, 0, 0, 0, 0
2245,4.67827, 0, 0, 0, 0, 0
2250,4.67826, 0, 0, 0, 0, 0
2255,4.67824, 0, 0, 0, 0, 0
2260,4.67823, 0, 0, 0, 0, 0
2265,4.67822, 0, 0, 0, 0, 0
2270,4.67821, 0, 0, 0, 0, 0
2275,4.67819, 0, 0, 0, 0, 0
2280,4.67818, 0, 0, 0, 0, 0
2285,4.67817, 0, 0, 0, 0, 0
2290,4.67815, 0, 0, 0, 0, 0
2295,4.67814, 0, 0, 0, 0, 0
2300,4.67813, 0, 0, 0, 0, 0
2305,4.67812, 0, 0, 0, 0, 0
2310,4.6781, 0, 0, 0, 0, 0
2315,4.67809, 0, 0, 0, 0, 0
2320,4.67808, 0, 0, 0, 0, 0
2325,4.67806, 0, 0, 0, 0, 0
2330,4.67805, 0, 0, 0, 0, 0
2335,4.67804, 0, 0, 0, 0, 0
2340,4.67803, 0, 0, 0, 0, 0
2345,4.67801, 0, 0, 0, 0, 0
2350,4.678, 0, 0, 0, 0, 0
2355,4.67799, 0, 0, 0, 0, 0
2360,4.67798, 0, 0, 0, 0, 0
2365,4.67796, 0, 0, 0, 0, 0
2370,4.67795, 0, 0, 0, 0, 0
2375,4.67794, 0, 0, 0, 0, 0
2380,4.67792, 0, 0, 0, 0, 0
2385,4.67791, 0, 0, 0, 0, 0
2390,4.6779, 0, 0, 0, 0, 0
2395,4.67789, 0, 0, 0, 0, 0
2400,4.67787, 0, 0, 0, 0, 0
2405,4.67786, 0, 0, 0, 0, 0
2410,4.67785, 0, 0, 0, 0, 0
2415,4.67783, 0, 0, 0, 0, 0
2420,4.67782, 0, 0, 0, 0, 0
2425,4.67781, 0, 0, 0, 0, 0
2430,4.6778, 0, 0, 0, 0, 0
2435,4.67778, 0, 0, 0, 0, 0
2440,4.67777, 0, 0, 0, 0, 0
2445,4.67776, 0, 0, 0, 0, 0
2450,4.67775, 0, 0, 0, 0, 0
2455,4.67773, 0, 0, 0, 0, 0
2460,4.67772, 0, 0, 0, 0, 0
2465,4.67771, 0, 0, 0, 0, 0
2470,4.67769, 0, 0, 0, 0, 0
2475,4.67768, 0, 0, 0, 0, 0
2480,4.67767, 0, 0, 0, 0, 0
2485,4.67766, 0, 0, 0, 0, 0
2490,4.67764, 0, 0, 0, 0, 0
2495,4.67763, 0, 0, 0, 0, 0
2500,4.67762, 0, 0, 0, 0, 0
2505,4.6776, 0, 0, 0, 0, 0
2510,4.67759, 0, 0, 0, 0, 0
2515,4.67758, 0, 0, 0, 0, 0
2520,4.67757, 0, 0, 0, 0, 0
2525,4.67755, 0, 0, 0, 0, 0
2530,4.67754, 0, 0, 0, 0, 0
2535,4.67753, 0, 0, 0, 0, 0
2540,4.67752, 0, 0, 0, 0, 0
2545,4.6775, 0, 0, 0, 0, 0
2550,4.67749, 0, 0, 0, 0, 0
2555,4.67748, 0, 0, 0, 0, 0
2560,4.67746, 0, 0, 0, 0, 0
2565,4.67745, 0, 0, 0, 0, 0
2570,4.67744, 0, 0, 0, 0, 0
2575,4.67743, 0, 0, 0, 0, 0
2580,4.67741, 0, 0, 0, 0, 0
2585,4.6774, 0, 0, 0, 0, 0
2590,4.67739, 0, 0, 0, 0, 0
2595,4.67738, 0, 0, 0, 0, 0
2600,4.67736, 0, 0, 0, 0, 0
2605,4.67735, 0, 0, 0, 0, 0
2610,4.67734, 0, 0, 0, 0, 0
2615,4.67732, 0, 0, 0, 0, 0
2620,4.67731, 0, 0, 0, 0, 0
2625,4.6773, 0, 0, 0, 0, 0
2630,4.67729, 0, 0, 0, 0, 0
2635,4.67727, 0, 0, 0, 0, 0
2640,4.67726, 0, 0, 0, 0, 0
2645,4.67725, 0, 0, 0, 0, 0
2650,4.67723, 0, 0, 0, 0, 0
2655,4.67722, 0, 0, 0, 0, 0
2660,4.67721, 0, 0, 0, 0, 0
2665,4.6772, 0, 0, 0, 0, 0
2670,4.67718, 0, 0, 0, 0, 0
2675,4.67717, 0, 0, 0, 0, 0
2680,4.67716, 0, 0, 0, 0, 0
2685,4.67715, 0, 0, 0, 0, 0
2690,4.67713, 0, 0, 0, 0, 0
2695,4.67712, 0, 0, 0, 0, 0
2700,4.67711, 0, 0, 0, 0, 0
2705,4.67709, 0, 0, 0, 0, 0
2710,4.67708, 0, 0, 0, 0, 0
2715,4.67707, 0, 0, 0, 0, 0
2720,4.67706, 0, 0, 0, 0, 0
2725,4.67704, 0, 0, 0, 0, 0
2730,4.67703, 0, 0, 0, 0, 0
2735,4.67702, 0, 0, 0, 0, 0
2740,4.67701, 0, 0, 0, 0, 0
2745,4.67699, 0, 0, 0, 0, 0
2750,4.67698, 0, 0, 0, 0, 0
2755,4.67697, 0, 0, 0, 0, 0
2760,4.67695, 0, 0, 0, 0, 0
2765,4.67694, 0, 0, 0, 0, 0
2770,4.67693, 0, 0, 0, 0, 0
2775,4.67692, 0, 0, 0, 0, 0
2780,4.6769, 0, 0, 0, 0, 0
2785,4.67689, 0, 0, 0, 0, 0
2790,4.67688, 0, 0, 0, 0, 0
2795,4.67687, 0, 0, 0, 0, 0
2800,4.67685, 0, 0, 0, 0, 0
2805,4.67684, 0, 0, 0, 0, 0
2810,4.67683, 0, 0, 0, 0, 0
2815,4.67681, 0, 0, 0, 0, 0
2820,4.6768, 0, 0, 0, 0, 0
2825,4.67679, 0, 0, 0, 0, 0
2830,4.67678, 0, 0, 0, 0, 0
2835,4.67676, 0, 0, 0, 0, 0
2840,4.67675, 0, 0, 0, 0, 0
2845,4.67674, 0, 0, 0, 0, 0
2850,4.67673, 0, 0, 0, 0, 0
2855,4.67671, 0, 0, 0, 0, 0
2860,4.6767, 0, 0, 0, 0, 0
2865,4.67669, 0, 0, 0, 0, 0
2870,4.67667, 0, 0, 0, 0, 0
2875,4.67666, 0, 0, 0, 0, 0
2880,4.67665, 0, 0, 0, 0, 0
2885,4.67664, 0, 0, 0, 0, 0
2890,4.67662, 0, 0, 0, 0, 0
2895,4.67661, 0, 0, 0, 0, 0
2900,4.6766, 0, 0, 0, 0, 0
2905,4.67659, 0, 0, 0, 0, 0
2910,4.67657, 0, 0, 0, 0, 0
2915,4.67656, 0, 0, 0, 0, 0
2920,4.67655, 0, 0, 0, 0, 0
2925,4.67653, 0, 0, 0, 0, 0
2930,4.67652, 0, 0, 0, 0, 0
2935,4.67651, 0, 0, 0, 0, 0
2940,4.6765, 0, 0, 0, 0, 0
2945,4.67648, 0, 0, 0, 0, 0
2950,4.67647, 0, 0, 0, 0, 0
2955,4.67646, 0, 0, 0, 0, 0
