time,thrust,att.x,att.y,att.z,attq.w,attq.x,attq.y,attq.z
1725,0,0,0,1.5708,0.707107,0,0,0.707107
1730,0,0,0,1.5708,0.707107,0,0,0.707107
1735,0,0,0,1.5708,0.707107,0,0,0.707107
1740,0,0,0,1.5708,0.707107,0,0,0.707107
1745,0,0,0,1.5708,0.707107,0,0,0.707107
1750,0,0,0,1.5708,0.707107,0,0,0.707107
1755,0,0,0,1.5708,0.707107,0,0,0.707107
1760,0,0,0,1.5708,0.707107,0,0,0.707107
1765,0,0,0,1.5708,0.707107,0,0,0.707107
1770,0,0,0,1.5708,0.707107,0,0,0.707107
1775,0,0,0,1.5708,0.707107,0,0,0.707107
1780,0,0,0,1.5708,0.707107,0,0,0.707107
1785,0,0,0,1.5708,0.707107,0,0,0.707107
1790,0,0,0,1.5708,0.707107,0,0,0.707107
1795,0,0,0,1.5708,0.707107,0,0,0.707107
1800,0,0,0,1.5708,0.707107,0,0,0.707107
1805,0,0,0,1.5708,0.707107,0,0,0.707107
1810,0,0,0,1.5708,0.707107,0,0,0.707107
1815,0,0,0,1.5708,0.707107,0,0,0.707107
1820,0,0,0,1.5708,0.707107,0,0,0.707107
1825,0,0,0,1.5708,0.707107,0,0,0.707107
1830,0,0,0,1.5708,0.707107,0,0,0.707107
1835,0,0,0,1.5708,0.707107,0,0,0.707107
1840,0,0,0,1.5708,0.707107,0,0,0.707107
1845,0,0,0,1.5708,0.707107,0,0,0.707107
1850,0,0,0,1.5708,0.707107,0,0,0.707107
1855,0,0,0,1.5708,0.707107,0,0,0.707107
1860,0,0,0,1.5708,0.707107,0,0,0.707107
1865,0,0,0,1.5708,0.707107,0,0,0.707107
1870,0,0,0,1.5708,0.707107,0,0,0.707107
1875,0,0,0,1.5708,0.707107,0,0,0.707107
1880,0,0,0,1.5708,0.707107,0,0,0.707107
1885,0,0,0,1.5708,0.707107,0,0,0.707107
1890,0,0,0,1.5708,0.707107,0,0,0.707107
1895,0,0,0,1.5708,0.707107,0,0,0.707107
1900,0,0,0,1.5708,0.707107,0,0,0.707107
1905,0,0,0,1.5708,0.707107,0,0,0.707107
1910,0,0,0,1.5708,0.707107,0,0,0.707107
1915,0,0,0,1.5708,0.707107,0,0,0.707107
1920,0,0,0,1.5708,0.707107,0,0,0.707107
1925,0,0,0,1.5708,0.707107,0,0,0.707107
1930,0,0,0,1.5708,0.707107,0,0,0.707107
1935,0,0,0,1.5708,0.707107,0,0,0.707107
1940,0,0,0,1.5708,0.707107,0,0,0.707107
1945,0,0,0,1.5708,0.707107,0,0,0.707107
1950,0,0,0,1.5708,0.707107,0,0,0.707107
