time,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,mag.x,mag.y,mag.z
1140,-0.162822, -0.348534, -9.714,0.0857777, -0.0701553, -0.8947,-0.960906, -0.09459, 1.14637
1145,-0.223184, -0.31391, -9.91992,0.070262, -0.0340261, -0.866541,0.521552, -0.865269, -0.185963
1150,-0.324037, -0.326142, -9.72251,0.0478039, 0.0142042, -0.830172,0.109558, 0.849436, 0.354659
1155,-0.362808, -0.335893, -9.87007,0.019236, 0.0789416, -0.788182,0.304667, 1.65214, 1.57493
1160,-0.36048, -0.283157, -9.72467,-0.0228347, 0.11971, -0.76467,1.76138, 1.35887, 0.463667
1165,-0.167254, -0.282423, -9.88764,-0.0532566, 0.122433, -0.75816,0.627399, -0.238155, 1.49506
1170,-0.203022, -0.303284, -9.74646,-0.0746742, 0.125894, -0.752807,0.107846, -0.617693, -1.25229
1175,-0.155898, -0.298104, -9.89036,-0.0862213, 0.12513, -0.756508,0.939177, -0.375069, 1.4078
1180,-0.136359, -0.305226, -9.70835,-0.0852281, 0.124005, -0.75051,0.260501, 1.76414, -0.497121
1185,-0.181764, -0.317266, -9.90214,-0.0838217, 0.12308, -0.747989,0.878275, 0.738621, 0.460703
1190,-0.123943, -0.254636, -9.71743,-0.0677405, 0.122633, -0.742931,-0.0738779, 0.737697, -0.541886
1195,-0.140668, -0.272611, -9.91538,-0.0554523, 0.126643, -0.738063,1.51085, -0.53102, -1.36835
1200,-0.124696, -0.280779, -9.72856,-0.036766, 0.123616, -0.740558,0.0642149, 1.32727, 1.32309
