time,Vnom,I_mA,mAh_remaining
3095,8.37787,30948,98.8699
3100,8.37783,30947.8,98.8679
3105,8.37779,30947.7,98.866
3110,8.37776,30947.5,98.864
3115,8.37772,30947.4,98.8621
3120,8.37768,30947.2,98.8601
3125,8.37765,30947.1,98.8582
3130,8.37761,30946.9,98.8562
3135,8.37757,30946.8,98.8543
3140,8.37754,30946.7,98.8523
3145,8.3775,30946.5,98.8503
3150,8.37746,30946.4,98.8484
3155,8.37743,30946.2,98.8464
3160,8.37739,30946.1,98.8445
3165,8.37735,30945.9,98.8425
3170,8.37732,30945.8,98.8406
3175,8.37728,30945.7,98.8386
3180,8.37724,30945.5,98.8367
3185,8.37721,30945.4,98.8347
3190,8.37717,30945.2,98.8328
3195,8.37713,30945.1,98.8308
3200,8.3771,30944.9,98.8289
3205,8.37706,30944.8,98.8269
3210,8.37702,30944.6,98.825
3215,8.37699,30944.5,98.823
3220,8.37695,30944.4,98.821
3225,8.37691,30944.2,98.8191
3230,8.37688,30944.1,98.8171
3235,8.37684,30943.9,98.8152
3240,8.3768,30943.8,98.8132
3245,8.37677,30943.6,98.8113
3250,8.37673,30943.5,98.8093
3255,8.37669,30943.4,98.8074
3260,8.37666,30943.2,98.8054
3265,8.37662,30943.1,98.8035
3270,8.37658,30942.9,98.8015
3275,8.37655,30942.8,98.7996
3280,8.37651,30942.6,98.7976
3285,8.37647,30942.5,98.7956
3290,8.37644,30942.4,98.7937
3295,8.3764,30942.2,98.7917
3300,8.37636,30942.1,98.7898
3305,8.37633,30941.9,98.7878
3310,8.37629,30941.8,98.7859
3315,8.37625,30941.6,98.7839
3320,8.37622,30941.5,98.782
3325,8.37618,30941.3,98.78
3330,8.37614,30941.2,98.7781
3335,8.37611,30941.1,98.7761
3340,8.37607,30940.9,98.7742
3345,8.37603,30940.8,98.7722
3350,8.376,30940.6,98.7703
3355,8.37596,30940.5,98.7683
3360,8.37592,30940.3,98.7663
3365,8.37589,30940.2,98.7644
3370,8.37585,30940.1,98.7624
3375,8.37581,30939.9,98.7605
