time,thrust,rate_sp.x,rate_sp.y,rate_sp.z,tau_sp.x,tau_sp.y,tau_sp.z,m.1,m.2,m.3,m.4
1010,0,0,0,0.184208,0,0,-0.000418785,0.200058,-0.200058,-0.200058,0.200058
1015,0,0,0,0.181188,0,0,-0.000401796,0.200024,-0.200024,-0.200024,0.200024
1020,0,0,0,0.17824,0,0,-0.000379036,0.199979,-0.199979,-0.199979,0.199979
1025,0,0,0,0.175375,0,0,-0.00035075,0.199923,-0.199923,-0.199923,0.199923
1030,0,0,0,0.172601,0,0,-0.000317173,0.199856,-0.199856,-0.199856,0.199856
1035,0,0,0,0.169925,0,0,-0.000278537,0.199779,-0.199779,-0.199779,0.199779
1040,0,0,0,0.167355,0,0,-0.000235064,0.199693,-0.199693,-0.199693,0.199693
1045,0,0,0,0.164898,0,0,-0.000186969,0.199598,-0.199598,-0.199598,0.199598
1050,0,0,0,0.162561,0,0,-0.000134459,0.199494,-0.199494,-0.199494,0.199494
1055,0,0,0,0.16035,0,0,-7.77339e-05,0.199382,-0.199382,-0.199382,0.199382
1060,0,0,0,0.158271,0,0,-1.69895e-05,0.199262,-0.199262,-0.199262,0.199262
1065,0,0,0,0.156328,0,0,4.7805e-05,-0.199323,0.199323,0.199323,-0.199323
1070,0,0,0,0.154479,0,0,5.97211e-05,-0.199346,0.199346,0.199346,-0.199346
1075,0,0,0,0.152637,0,0,4.66409e-05,-0.199321,0.199321,0.199321,-0.199321
1080,0,0,0,0.150795,0,0,3.35598e-05,-0.199295,0.199295,0.199295,-0.199295
1085,0,0,0,0.148952,0,0,2.04775e-05,-0.199269,0.199269,0.199269,-0.199269
1090,0,0,0,0.147109,0,0,7.3929e-06,-0.199243,0.199243,0.199243,-0.199243
1095,0,0,0,0.145266,0,0,-5.69329e-06,0.19924,-0.19924,-0.19924,0.19924
1100,0,0,0,0.143423,0,0,-1.87808e-05,0.199266,-0.199266,-0.199266,0.199266
1105,0,0,0,0.141579,0,0,-3.18701e-05,0.199292,-0.199292,-0.199292,0.199292
1110,0,0,0,0.139735,0,0,-4.4961e-05,0.199317,-0.199317,-0.199317,0.199317
1115,0,0,0,0.137891,0,0,-5.80533e-05,0.199343,-0.199343,-0.199343,0.199343
1120,0,0,0,0.136047,0,0,-7.11461e-05,0.199369,-0.199369,-0.199369,0.199369
1125,0,0,0,0.134203,0,0,-8.42421e-05,0.199395,-0.199395,-0.199395,0.199395
1130,0,0,0,0.132358,0,0,-9.73385e-05,0.199421,-0.199421,-0.199421,0.199421
1135,0,0,0,0.130513,0,0,-0.000110437,0.199447,-0.199447,-0.199447,0.199447
1140,0,0,0,0.128668,0,0,-0.000123537,0.199473,-0.199473,-0.199473,0.199473
1145,0,0,0,0.126823,0,0,-0.000136637,0.199498,-0.199498,-0.199498,0.199498
1150,0,0,0,0.124978,0,0,-0.00014974,0.199524,-0.199524,-0.199524,0.199524
1155,0,0,0,0.123132,0,0,-0.000162844,0.19955,-0.19955,-0.19955,0.19955
1160,0,0,0,0.121287,0,0,-0.000175948,0.199576,-0.199576,-0.199576,0.199576
1165,0,0,0,0.119441,0,0,-0.000189055,0.199602,-0.199602,-0.199602,0.199602
